OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
CF2-1	53	1	1695.64576	211.27869	1705.09225	188.85246
CF2-1	54	0	1318.96679	965.50820	722.65683	963.14754
CF2-1	54	1	1428.78229	945.44262	859.63100	936.00000
CF2-1	55	0	993.06273	500.45902	464.05904	507.54098
CF2-1	55	1	1118.22878	435.54098	601.03321	443.80328
CF2-1	56	0	1314.24354	956.06557	720.29520	953.70492
CF2-1	56	1	1432.32472	943.08197	861.99262	933.63934
CF2-1	57	0	1265.83026	541.77049	947.01107	552.39344
CF2-1	57	1	1370.92251	538.22951	1050.92251	547.67213
CF2-1	58	0	1092.25092	470.95082	831.29151	482.75410
CF2-1	58	1	1152.47232	528.78689	895.05535	538.22951
CF2-1	59	0	1022.86347	264.45902	1106.07380	273.37705
CF2-1	59	1	1069.80074	242.03279	1156.55351	247.11475
CF2-1	60	0	876.16236	895.86885	582.14022	904.13115
CF2-1	60	1	1800.73801	1049.31148	1455.94096	1056.39344
CF2-1	61	0	1600.00000	660.98361	414.46494	663.34426
CF2-1	62	0	1259.92620	443.80328	1297.71218	450.88525
CF2-1	62	1	1144.20664	401.31148	1171.36531	409.57377
CF2-1	63	0	1372.10332	588.98361	981.25461	594.88525
CF2-1	63	1	1664.94465	571.27869	1251.66052	585.44262
CF2-1	64	0	1194.98155	245.50820	1112.32472	251.40984
CF2-1	64	1	1047.38007	275.01639	963.54244	286.81967
CF2-1	65	0	995.35055	558.14754	833.65683	568.29508
CF2-1	65	1	933.65314	561.39344	779.33948	571.83607
CF2-1	66	0	1334.31734	440.26230	1209.15129	446.16393
CF2-1	66	1	1211.51292	454.42623	1100.51661	466.22951
CF2-1	67	0	469.60148	515.81967	375.00000	532.32787
CF2-1	67	1	351.52030	499.29508	241.27306	515.80328
CF2-1	68	0	1421.69742	735.34426	1238.67159	748.32787
CF2-1	68	1	1313.06273	702.29508	1132.39852	717.63934
CF2-1	69	0	948.19188	404.85246	784.05904	417.83607
CF2-1	69	1	1102.87823	313.96721	929.29889	328.13115
CF2-1	70	0	286.93727	576.00000	199.55720	586.62295
CF2-1	70	1	354.24354	512.26230	288.11808	529.96721
CF2-1	71	0	1876.30996	810.88525	1529.15129	816.78689
CF2-1	71	1	1792.47232	786.09836	1439.40959	790.81967
CF2-1	72	0	1369.74170	598.42623	922.21402	605.50820
CF2-1	72	1	1510.25830	388.32787	998.96679	410.75410
CF2-1	73	0	1040.29520	538.22951	771.07011	551.21311
CF2-1	73	1	910.40590	567.73770	610.47970	576.00000
CF2-1	74	0	1198.35793	653.85246	996.08487	662.70492
CF2-1	74	1	1323.81919	649.42623	1108.26199	658.57377
CF2-1	75	0	276.30996	192.39344	402.65683	250.22951
CF2-1	75	1	403.83764	151.08197	506.56827	205.37705
CF2-1	76	0	136.97417	662.16393	51.95572	666.88525
CF2-1	76	1	673.06273	551.21311	583.32103	564.19672
CF2-1	77	0	823.02583	316.32787	775.79336	337.57377
CF2-1	77	1	1006.05166	288.00000	956.45756	302.16393
CF2-1	78	0	1039.11439	318.68852	1074.53875	328.13115
CF2-1	78	1	1217.41697	317.50820	1267.01107	319.86885
CF2-1	79	0	1166.64207	414.29508	1004.87085	424.91803
